,Avg. sheep,Avg. wolves
1276,187.16,145.1
1277,187.16,145.1
1278,112.42,165.39
1279,153.83,117.54
1280,278.17,150.89
1281,170.27,191.66
1282,144.04,178.51
1283,144.04,178.51
1284,217.7,138.6
1285,175.87,196.68
1286,144.32,192.06
1287,144.04,178.51
1288,297.41,99.49
1289,285.35,84.58
1290,297.41,99.49
1291,297.41,99.49
1292,334.87,82.93
1293,773.13,222.27
1294,218.31,94.86
1295,456.55,350.41
1296,449.35,366.28
1297,449.35,366.28
1298,345.17,365.86
1299,324.79,55.16
1300,522.87,310.11
1301,449.35,366.28
1302,2514.84,76.62
1303,1801.26,91.16
1304,2514.84,76.62
1305,2514.84,76.62
1306,1877.59,93.4
1307,232.28,65.98
1308,773.52,165.85
1309,253.05,67.17
1310,211.08,77.82
1311,211.08,77.82
1312,209.4,79.52
1313,628.95,187.71
1314,299.19,61.51
1315,211.08,77.82
1316,745.5,66.16
1317,872.69,67.66
1318,745.5,66.16
1319,745.5,66.16
1320,239.41,182.03
1321,169.65,21.33
1322,870.7,64.9
1323,98.91,50.02
1324,88.02,65.7
1325,88.02,65.7
1326,146.21,27.69
1327,197.11,179.36
1328,106.39,53.31
1329,88.02,65.7
1330,134.24,54.66
1331,114.99,65.61
1332,134.24,54.66
1333,134.24,54.66
1334,195.67,43.75
1335,208.71,221.19
1336,110.93,48.48
1337,216.51,229.49
1338,220.34,211.11
